,perguntas,respostas,,,
351,quais os sintomas do covid-19?,"Os sinais e sintomas clínicos são principalmente respiratórios, semelhantes aos de um resfriado comum. Em casos mais graves, podem também causar infecção do trato respiratório inferior, como as pneumonias. ",,,
352,como sei que o profissional de saude esta tomando a precaucao correta contra o covid-19 no momento do atendimento?,"O profissional de saúde deverá estar usando máscara cirúrgica, luvas, avental não estéril e óculos de proteção. Em alguns momentos eles estarão usando também máscara tipo N95 e não deverão usar nenhum tipo de adorno (anéis, brincos, pulseiras, cordão, relógio, etc). Importante frisar que antes e depois do contato com o paciente é necessário também lavar as mãos ou usar antisséptico de mãos à base de álcool. ",,,
353,como conversar sobre a covid-19 com uma crianca?,"Falar com crianças sobre determinados assuntos envolve agir com delicadeza e clareza no momento da conversa. Não é fácil falar sobre doenças como a covid-19, por isso, aqui vão algumas dicas:ao conversar sobre a covid-19, mantenha a calma. É importante lembrar que crianças irão reagir a sua forma de falar e suas expressões. Elas também prestarão atenção em suas conversas, por isso é importante ter cautela;algumas crianças podem ficar tensas com esta situação, por isto lembre-se de acalmá-las durante a conversa. Elas devem saber que podem falar sobre seus anseios. Ajude-as a lidar com o estresse;ressalte que a criança poderá conversar com você sobre o tema a qualquer momento. Demonstrar para a criança que você está disponível é fundamental.",,,
354,como explicar para uma crianca o que e a covid-19?,Para responder essa pergunta a uma criança é importante usar uma linguagem simples e sempre ressaltar que as equipes de saúde estão trabalhando para manter as pessoas saudáveis e seguras.Pode-se dizer que covid-19 é uma abreviação para “doença do novo coronavírus” e possui o número 19 pois apareceu no ano de 2019. Essa é uma nova doença e médicos e cientistas ainda estão aprendendo mais sobre ela e sobre o vírus que a causa. Tudo isso para ajudar aqueles que estão adoecendo e para evitar que mais pessoas adoeçam.,,,
355,como manejar o estresse na crianca ao falar sobre a covid-19?,"Ao falar sobre o novo coronavírus com crianças, é importante deixar a criança expor suas dúvidas, anseios e até o que ela já sabe sobre a doença. Assim, você podeevitar o estresse e a ansiedade durante este tipo de conversa.As crianças podem reagir de formas diferentes quando estão ansiosas. Abaixo estão algumas dicas sobre como agir:evite culpar alguém pela atual situação, evitando estigmas e situações de tensão;preste atenção nas informações que a criança consome na televisão, internet e em outros meios. O excesso de informação sobre a covid-19 pode gerar ansiedade;providencie informações verdadeiras e apropriadas para a faixa etária de cada criança;ensine a criança sobre métodos de higiene e de prevenção da doença no dia-a-dia. Isto pode ajudar e fazer com que a criança se sinta parte do processo, fazendo com que ela fique mais tranquila;peça para a criança contar histórias ou fazer desenhos sobre como ela se sente.",,,
356,como explicar para uma crianca sobre a forma de contagio?,"Converse com a criança explicando que a covid-19 se espalha como um resfriado comum. Se uma pessoa contaminada tosse ou espirra, ela pode espalhar o vírus no ar. Além disso, o vírus pode chegar a longas distâncias, por isso é importante manter uma distância de pelo menos 2 metros de outras pessoas. Lembrando que também é possível contrair a doença ao encostar em uma superfície contaminada, por isso é importante praticar uma boa higienização.",,,
357,como falar com uma crianca sobre os sintomas da covid-19?,"Para explicar de forma clara para uma criança sobre os sintomas da covid-19, diga que ela pode sentir algo parecido com um resfriado ou uma gripe. Pode haver tosse, febre, congestão nasal, dor de cabeça, diarréia, perda de olfato/paladar, náusea ou vômito.É importante lembrar que algumas pessoas podem ser assintomáticas e a maioria das pessoas apresenta a forma leve destes sintomas. Instrua a criança a sempre comunicar um adulto caso sinta algo diferente.",,,
358,como responder para uma crianca o que o novo coronavirus pode causar?,"Você pode dizer para a criança que os sintomas causados pelo novo coronavírus são muito variados, mas alguns dos mais comuns são febre, tosse, dor de garganta e nariz escorrendo, assim como uma gripe. A maioria das pessoas que adoece tem apenas sintomas mais leves como esses e apenas uma parte delas passa a apresentar dificuldades para respirar, podendo ser necessária ajuda no hospital.",,,
359,como conversar com uma crianca que esta com medo de ser contaminada?,"Ao conversar com uma criança que está com medo de ser afetada pelo novo coronavírus, é importante lembrá-la de que, caso ela se sinta mal, não será necessariamente por causa da covid-19, mas ela deve sempre informar ao seu responsável. Se ela realmente estiver infectada, é importante reafirmar que ela será cuidada pelos adultos. É essencial demonstrar apoio e tentar manter a calma.",,,
360,como falar sobre formas de prevencao com uma crianca?,"Para falar com uma criança sobre como se prevenir contra a covid-19, deve-se demonstrar de forma prática alguns hábitos que a ajudarão a evitar a contaminação. Algumas dicas:mostre para a criança como lavar as mãos corretamente com água e sabão por pelo menos 20 segundos;mostre para a criança como fazer uso do álcool em gel. Sempre supervisionando este tipo de ação de acordo com a faixa etária da criança;instrua a criança a não tocar o rosto se não estiver com as mãos devidamente higienizadas;converse com a criança sobre a importância do distanciamento social e do uso de máscaras (lembrando que crianças abaixo de 2 anos de idade não fazem uso da máscara);demonstre para a criança como manter a ""etiqueta respiratória"" ao espirrar ou tossir: caso não esteja de máscara, é importante cobrir boca e nariz com um lenço de papel (que deverá ser descartado após o uso) ou com a parte interna do braço. Fazer higienização das mãos e dos braços logo após.",,,
361,como explicar para uma crianca o motivo dela nao poder visitar parentes e amigos?,"Durante o período de quarentena, as crianças não estão seguindo a rotina que estavam acostumadas e podem acabar perguntando sobre isso. Uma forma de explicar o motivo dessa mudança é conversando sobre a importância de manter o distanciamento social para evitar adoecer ou contaminar alguém.É importante explicar para a criança que algumas pessoas podem até parecer saudáveis, mas mesmo assim podem transmitir o vírus. Por isso é importante evitar aglomerações e ficar em casa se possível. Quando isso passar poderão rever parentes e amigos.",,,
362,como explicar para uma crianca sobre o uso de mascaras?,"Explique para a criança que o uso da máscara auxilia na redução da transmissão do vírus já que, ao cobrir nariz e boca, há diminuição na liberação de gotículas no ambiente. Porém, é fundamental que se ensine sobre a forma correta de utilização, sempre reforçando a importância de evitar tocar no rosto e na máscara.Lembrando que crianças abaixo de 2 anos de idade nãodevem utilizar máscara e que o distanciamento social é importante mesmo que se utilize a proteção.",,,
363,preciso sair de casa para trabalhar e precisei me afastar de uma crianca para evitar a transmissao da doenca. como explicar isso a ela?,"Ao conversar com uma criança sobre a necessidade de se afastar, explique sobre a importância do distanciamento nesse momento e reforce que vocês poderão se reencontrar quando as coisas estiverem melhor. Uma dica é fazer ligações ou chamadas de vídeo para manter contato. É importante deixar claro para a criança que o afastamento não ocorreu por culpa dela, mas sim por uma medida de prevenção.",,,
364,uma pessoa proxima da crianca esta gravemente contaminada pela covid-19. como falar sobre isso?,"Primeiramente, é necessário pensar na faixa etária da criança e no nível de maturidade que ela tem para entender questões complexas, pois esse aspecto requer muito cuidado. É importante separar um tempo para conversar sobre isso, escutando e explicando o quanto for necessário, respondendo sempre de forma sincera e no nível de entendimento da criança, demonstrando receptividade ao escutá-la.Considere falar sobre possíveis mudanças na rotina e fale, também, sobre os profissionais de saúde que estão fazendo o possível para ajudar as pessoas a se recuperarem. Respeite a reação da criança e, se necessário, busque ajuda profissional para lidar com o aspecto emocional.",,,
365,uma crianca me perguntou se pode morrer se for contaminada pelo virus. como devo lidar com isso?,"Responda calmamente e fale para a criança que a maioria das pessoas contaminadas estão se recuperando. Diga a ela para não se preocupar com isso e para focar em manter as atitudes de prevenção como, por exemplo, higienização das mãos.Mostre que há maneiras dela continuar se cuidando e ajude a criança a se lembrar de que médicos e pesquisadores estão trabalhando para ajudar aqueles que adoecerem e para buscar soluções frente à doença. Diga para a criança fazer atividades prazerosas e manter a calma.",,,
366,como explicar para uma crianca o que e pandemia?,"Algumas crianças podem ouvir o termo “pandemia” e acabam perguntando seu significado. Para explicar, diga a ela que existem outras duas palavras bem parecidas: epidemia e endemia.Explique de forma simples que epidemia se refere a alguma doença que atinge muitas pessoas de forma muito rápida. Endemia é um termo para uma doença que atinge um local/povo específico. Já a pandemia se refere a algo que se espalha muito rápido, atingindo vários lugares diferentes do mundo (vários países em, no mínimo, dois continentes diferentes e praticamente ao mesmo tempo).Por isso o novo coronavírus, que se espalhou muito rápido em muitos locais diferentes, foi considerado uma pandemia. Caso a criança demonstre mais interesse nesse tema e tenha maturidade, sugira que vocês façam uma pesquisa juntos. Procure fontes confiáveis para lerem juntos.",,,
367,o que responder quando uma crianca pergunta sobre quando essa situacao ira acabar?,"O primeiro passo é considerar a faixa etária da criança que está fazendo essa pergunta. Em seguida, é importante manter a sinceridade e dizer que ainda não existe uma resposta para isso. Porém, tranquilize a criança dizendo que muitas pessoas estão pesquisando formas de tratamento e vacinas para conter a doença.Conte para ela que os seres humanos já solucionaram outros problemas antes e que, mesmo que seja uma situação difícil, muitos estão trabalhando para que tudo melhore. Diga que a criança pode contribuir com isso ao fazer a parte dela, mantendo as medidas preventivas e buscando fazer tarefas variadas em casa.Busque formas lúdicas para conversar sobre isso e deixe a criança fazer suas próprias ponderações. Responda de forma realista e, caso não saiba responder, busque solucionar a dúvida junto com a criança.Agora que você já sabe como abordar melhor este tema com as crianças e tirou algumas de suas dúvidas, não deixe de compartilhar este post com alguém que também precise destas informações! Lembre-se de seguir as orientações para prevenção da covid-19: isso protege você, as crianças e as outras pessoas à sua volta. Chame e oriente a criança para participar desse processo junto com você!Quer saber mais sobre coronavírus? Siga a SES-MG no Instagram, no Facebook e no Twitter.*Este post foi escrito pelos alunos da Faculdade de Medicina da UFMG pela parceria da SES-MG com o projeto Adote sua Vizinhança em Tempos de covid-19.",,,
368,o que sao testes para covid-19? que tipo de amostra e usada nos testes ?,"Os testes para Covid-19 são produtos para diagnóstico de uso in vitro, nos termos da RDC 36/15, e podem identificar: a) anticorpos, ou seja, uma resposta do organismo quando este teve contato com o vírus, recentemente (IgM) ou previamente (IgG); ou b) material genético (RNA) ou “partes” (antígenos) do vírus (RT-PCR). Existem os testes que usam sangue, soro ou plasma e os outros que precisam de amostras de secreções coletadas das vias respiratórias, como nasofaringe (nariz) e orofaringe (garganta)",,,
369,o que sao testes rapidos (igm/igg)?,"Esse termo vem sendo usado popularmente para os testes imunocromatográficos. No caso dos testes rápidos para o novo coronavírus, são dispositivos de uso profissional, manuais, de fácil execução, que não necessitam de outros equipamentos de apoio, como os que são usados em laboratórios, e que conseguem dar resu ltados entre 10 e 30 minutos. Testes rápidos (IgM/IgG) podem auxiliar o mapeamento da população “imunizada” (que já teve o vírus ou foi exposta a ele), mas NÃO têm função de diagnóstico.",,,
370,o que sao testes rt- pcr?,"RT-PCR (Reverse Transcription - Polymerase Chain Reaction) é um teste de Reação em Cadeia da Polimerase com Transcrição Reversa em tempo real que verifica a presença de material genético do vírus, confirmando que a pessoa se encontra com Cov id-19. Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o teste definitivo segundo a Organização Mundial da Saúde (OMS)1.",,,
371,a partir de quantos dias apos o inicio dos sintomas e recomendado fazer um teste rapido ?,"Como a produção de anticorpos aumenta a cada dia a partir do início da infecção pelo vírus, é preciso que haja uma quantidade mínima de anticorpos que o teste consiga detectar. Este período entre o início dos sintomas e a detecção dos anticorpos em exames é chamado de janela imunológica. Sendo assim, a imunocromatografia para anticorpos (IgM e IgG) é indicada para exames a partir de pelo menos oito dias após o início dos sintomas. A utilização de testes rápidos antes desse período pode levar a resultados negativos mesmo nas pessoas que possuem o vírus e produziram anticorpos, sendo, portanto, um resultado “falso negativo”.",,,
372,quando devo fazer os testes rapidos (igm/igg)?,"Recomenda-se que tais testes sejam realizados em indivíduos que apresentem ou tenham tido os sintomas da Covid-19 há pelo menos oito dias. Os testes RT-PCR devem ser utilizados quando houver sintomatologia compatível ou houver necessidade de confirmação da infecção. Os testes rápidos (IgM/IgG) têm relevante utilização no mapeamento do status imunológico de uma população (que já teve o vírus ou foi exposta a ele). Tal mapeamento pode contribuir de forma positiva no processo de relaxamento das medidas restritivas, ou seja, quando do controle pandêmico, o mapeamento imunológico terá significativa relevância por ocasião do retorno das atividades.",,,
373,se o resultado do teste rapido (igm/igg) for positivo isso indica que tenho covid-19?,"Não. Testes rápidos (IgM/IgG) NÃO têm função de diagnóstico (confirmação ou descarte) de infecção por Covid-19. O diagnóstico de Covid-19 deve ser feito por testes de RT-PCR. • Testes rápidos positivos indicam que você teve contato recente com o vírus (IgM) ou que você já teve Covid-19 e está se recuperando ou já se recuperou (IgG), uma vez que indicam a presença de anticorpos (defesas do organismo). No entanto, os anticorpos só aparecem em quantidades detectáveis nos testes pelo menos oito dias depois da infecção. Ainda assim, o teste pode ser positivo indicando que você teve contato com OUTROS coronavírus e não com o Sars-CoV-2 / Covid-19 (falso positivo). Assim sendo, esse teste isolado não serve para diagnosticar (confirmar ou descartar) infecção por Covid-19. O diagnóstico da infecção pelo novo coronavírus deve ser feito por testes de RT-PCR. • Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o RT-PCR o teste definitivo, segundo a Organização Mundial da Saúde (OMS). O profissional da saúde que estiver realizando o teste irá orientá-lo sobre o significado dos testes e os devidos encaminhamentos, conforme protocolos clínicos do Ministério da Saúde 2. É importante destacar que os pacientes, mesmo quando testados positivos para Covid -19, NÃO devem procurar hospitais ou ambulatórios, devendo permanecer em suas casas em qua rentena por 14 dias (isolamento) até a remissão da infecção, exceto se estiverem com sintomas graves, tal como dificuldade de respirar.",,,
374,se o resultado do teste rapido (igm/igg) for negativo isso indica que nao tenho covid-19?,"Não. Testes rápidos (IgM/IgG) NÃO têm função de diagnóstico (confirmação ou descarte) de infecção por Covid-19. Diversos fatores influenciam os testes, tais como a sensibilidade/ especificidade e a condição do paciente (reposta imunológica). • Testes rápidos (IgM/IgG) negativos indicam que você não tem anticorpos contra a Covid-19. Considerando que esses anticorpos somente surgem em quantidade detectáveis alguns dias (pelo menos oito) depois da infecção, o teste somente tem alguma significância após esse período. Se sua carga imunológica (quantidade de anticorpos) for baixa, o teste pode ter um falso negativo. Assim sendo, esse teste isolado não serve para diagnosticar (confirmar ou descartar) infecção por Covid-19. O diagnóstico da doença deve ser feito por testes de RT-PCR. • Os testes de RT-PCR (padrão ouro) e de antígenos têm função diagnóstica, sendo o RT-PCR o teste definitivo, segundo a Organização Mundial da Saúde (OMS)3.",,,
375,quem fez teste rapido em laboratorios nao corre um alto risco de ter recebido um resultado falso positivo ou negativo? os testes rapidos (igm/igg) sao confiaveis?,"Os ensaios imunocromatográficos são ensaios de simples execução que, geralmente, não requerem a utilização de equipamentos e permitem a visualização do resultado em poucos minutos (10 a 30 minutos em média, a depender de cada produto). Reforçamos que a informação apresentada nesses ensaios é quanto ao estado imunológico no momento da coleta da amostra. Há um período de janela imunológica, que é o intervalo de tempo entre a infecção e a produção de anticorpos em níveis detectáveis por um teste rápido, que precisa ser considerado e que não é inferior a oito dias após o início da infecção. Se a testagem ocorrer dentro do período de janela imunológica, o resultado do ensaio poderá ser negativo mesmo se a pessoa estiver contaminada (falso negativo). Por isso, é importante respeitar o intervalo entre os sintomas e a testagem, estar atento às informações das instruções de uso (que trazem orientações específicas sobre cada produto) e também que o teste seja executado e interpretado por profissional de saúde. Essa situação não corresponde necessariamente a uma falha no produto, mas à não observância da advertência quanto ao período adequado para a testagem. Cabe mencionar, ainda, que cada produto possui características próprias quanto à execução, às precauções, ao limite de detecção e à interpretação dos resultados. Portanto, todas as informações dispostas nas instruções de uso devem ser seguidas e interpretadas por um profissional de saúde. Não há, até o momento, conhecimento científico sobre a duração dos anticorpos contra a Covid-19 no organismo e, portanto, não é possível assegurar proteção permanente para a infecção em pacientes com resultados de IgG positivo. As ações para redução do risco de transmissão do novo coronavírus dependem da participação de todos. Assim, independentemente dos resultados dos testes, a população deve estar atenta aos cuidados e às orientações divulgadas pelo Ministério da Saúde quanto ao uso de máscaras, o distanciamento mínimo entre as pessoas (evitar aglomerações) e o isolamento social na ocorrência de sintomas.",,,
376,"se os testes rapidos nao servem para diagnostico (confirmar ou descartar) de infeccao por covid-19, qual a sua funcao?","s testes rápidos (IgM/IgG) têm relevante utilização no mapeamento do status imunológico de uma população (que já teve o vírus ou foi exposta a ele). Tal mapeamento pode contribuir de forma positiva no processo de relaxamento das medidas restritivas, ou seja, quando do controle pandêmico, o mapeamento imunológico terá significativa relevância por ocasião do retorno das atividades.",,,
377,como os testes sao feitos?,"Os testes são realizados a partir da coleta de uma amostra do paciente, podendo ser de secreções nasais, de garganta ou de sangue. O tempo necessário para a liberação do resultado depende do tipo de testagem utilizada. • Testes rápidos (IgM/IgG) geralmente utilizam sangue, soro ou plasma e demoram alguns minutos para liberar o resultado, a depender do produto (10 a 30 minutos). • Os testes RT-PCR geralmente utilizam secreções respiratórias, coletadas por meio de swabs de orofaringe (garganta) ou nasofaringe (nariz ). São realizados em laboratórios clínicos e podem levar alguns dias para emissão de laudo. É importante destacar a importância de haver uma anamnese (avaliação e entrevista clínica) registrada, bem como a emissão de laudo técnico (sendo o resultado positivo ou negativo) para o paciente.",,,
378,qual a metodologia do teste rapido para a covid-19?,"O exame é feito com o uso de amostras de sangue, soro ou plasma. A metodologia utilizada é chamada de imunocromatografia, que é a geração de cor a partir de uma reação química entre antígeno (substância estranha ao organismo) e anticorpo (elemento de defesa do organismo). Os resultados obtidos são chamados de IgM e IgG. Portanto, o IgM e o IgG são as defesas do organismo a um agente externo, como o vírus que provoca a Covid-19. Tendo em vista que o organismo demanda um tempo para a produção desses anticorpos (janela imunológica) a partir do contágio, a imunocromatografia é indicada para exames a partir de pelo menos oito dias após o início dos sintomas, a depender da limitação do teste e da indicação do fabricante. Esse tempo é necessário para assegurar que haverá anticorpos suficientes no organismo que possam ser detectáveis por esse método. Os resultados dos testes rápidos devem ser interpretados por um profissional de saúde, considerando informações clínicas, sinais e sintomas do paciente, além de outros exames confirmatórios. Somente com esse conjunto de dados é possível fazer a avaliação e o diagnóstico ou descarte da doença.",,,
379,estes dispositivos precisam ter registro na anvisa?,"Sim. Uma das etapas do controle sanitário de produtos é o registro junto à Anvisa. Nesta fase, é exigida a apresentação de documentos da empresa, como Autorização de Funcionamento de Empresa (AFE) e Certificação de Boas Práticas de Fabricação (CBPF). Também devem ser apresentados documentos sobre o produto a ser registrado, tais como ensaios clínicos, avaliação de desempenho, fluxo de produção, estudo de estabilidade e outros dados que indiquem a sua segurança, qualidade e eficácia. O objetivo é avaliar se o produto é capaz de dar o resultado para o qual foi desenvolvido. É possível que haja produtos no mercado que não foram avaliados pela Anvisa.",,,
380,os testes rapidos disponiveis no mercado foram aprovados pela anvisa?,"No dia 18 de março deste ano, a Anvisa publicou a Resolução da Diretoria Colegiada (RDC) 348/2020, que estabeleceu regras extraordinárias e temporárias para agilizar a avaliação de novos produtos, por meio da priorização da análise de pedidos de registro de testes para detecção do novo coronavírus. A Anvisa tem direcionado toda sua energia e capacidade para avaliar a qualidade, a segurança e a eficácia dos testes para Covid-19. Considerando a emergência em saúde pública decorrente da pandemia de Covid-19, os procedimentos de regularização sanitária desses testes foram priorizados e flexibilizados, temporária e extraordinariamente, visando ampliar a oferta desses produtos e evitar o desabastecimento. Não adquira produtos pela internet. Você pode verificar a lista de testes aprovados pela Anvisa no portal da Agência. Além dos testes registrados pela Anvisa, é possível encontrar produtos que tenham sido importados e adquiridos de forma excepcional, nos termos da Lei 13.979/2020, que autorizou de forma excepcional e temporária a importação de produtos suje itos à vigilância sanitária, desde que estes sejam registrados por autoridade sanitária estrangeira e estejam previstos em ato do Ministério da Saúde (VIII, art. 3º). De forma complementar, a Resolução da Diretoria Coleg iada (RDC) 356/2020, alterada pela RDC 379/2020, permitiu, de forma extraordinária e temporária,a aquisiçãode dispositivos médicos essenciais para o combate à Covid-19, novos e não regularizados pela Anvisa,desde que regularizados e comercializados em jurisdição membro do Fórum Internacional de Reguladores de Dispositivos Médicos (International Medical Device Regulators Forum –IMDRF), por órgãos e entidades públicas e privadas, bem como serviços de saúde,quando não disponíveis para o comércio dispositivos semelhantes regularizados na Agência (art. 9º), sendo que os responsáveis pelas importações de kits para diagnóstico devem enviar, em um prazo máximo de 5 (cinco) dias contados da data do desembaraço da carga, uma amostra de, no mínimo, 100 unidades de cada lote importado para análise do Instituto Nacional de Controle de Qualidade em Saúde da Fundação Oswaldo Cruz (INCQS/Fiocruz).",,,
381,quais sao os requisitos para um teste rapido ser registrado no brasil?,"O controle do risco sanitário envolve ações pré e pós-mercado, ou seja, que acontecem antes do produto ser comercializado e que decorrem do uso e monitoramento do comportamento do produto após a sua comercialização. O registro é parte da atuação do controle sanitário que ocorre antes que o produto sej a comercializado no mercado nacional. A partir dele pode-se verificar se as empresas envolvidas nos processos fabris e nas atividades de importação encontram-se habilitadas para a realização dessas atividades. Os produtos para diagnóstico in vitro da Covid-19 são de uso profissional e classificados como de alto risco aos indivíduos e à saúde pública (classe III), e as empresas que os fabricam devem atender aos critérios de Boas Práticas de Fabricação estabelecidos pela RDC 16/2013. A Anvisa certifica as unidades fabris que cumprem os requisitos indicados nessa resolução , relacionados ao sistema de qualidade das empresas e aos controles aplicados no desenvolvimento e na fabricação dos produtos. Além disso, o registro também engloba a avaliação de desempenho dos produtos. Para tanto, são apresentadas informações, na forma de um dossiê técnico documental, que permitem a avaliação da confiabilidade dos resultados e da efetividade diagnóstica do produto. Os fabricantes precisam demonstrar como foram realizados os testes de desempenho e a qualificação das amostras utilizadas, além de evidências clínicas, tendo em vista o tipo de produto, a indicação de uso e a metodologia. Durante o processo de registro de cada produto são verificadas as rotulagens e as instruções de uso, para que contemplem as informações essenciais para a sua utilização segura e orientem o profissional de saúde quanto aos procedimentos para a execução do ensaio, o tipo de amostra, a interpretação dos resultados, as limitações e as advertências, entre outras informações relevantes. No Brasil, o registro de produto importado deve ser feito por uma empresa nacional que tenha autorização do fabricante para representá-lo no país. Essa documentação também é parte do processo de avaliação. A concessão do registro, portanto, é a primeira etapa do controle sanitário. É responsabilidade dos fabricantes e importadores disponibilizarem no mercado produtos que estejam em estrita conformidade com as informações aprovadas no registro. A Anvisa e as Vigilâncias Sanitárias estaduais e municipais continuam monitorando o comportamento dos produtos após a sua comercialização, seja por meio de queixas técnicas ou pela avaliação laboratorial de desempenho.",,,
382,o que sao os testes in house?,"São testes desenvolvidos por laboratórios clínicos, conforme seus próprios protocolos. O desenvolvimento deste tipo de teste segue normas da Anvisa (Resolução da Diretoria Colegiada – RDC 302/2005) e a produção é exclusivamente para uso próprio do estabelecimento, em pesquisa ou apoio diagnóstico. Por isso, não podem ser comercializados.",,,
383,quantos testes rapidos foram avaliados ate agora? por qual instituicao foram avaliados?,"Por qual instituição foram avaliados? A Anvisa, em parceria com o INCQS/Fiocruz, estabeleceu um programa de monitoramento dos testes rápidos. Esse programa não substitui as ações regulares de controle sanitário e não é condição para uso de produtos registrados na Agência, mas permite acompanhar o comportamento dos produtos frente às informações declaradas nas instruções de uso. Qualquer desempenho não esperado dos produtos identificado pelos serviços de saúde deve ser notificado à Anvisa por meio do Sistema de Notificações em Vigilância Sanitária (Notivisa) e é parte do controle sanitário pós-mercado. Além disso, a Agência atua com as autoridades reguladoras internacionais para discutir temas como análises laboratoriais de produtos para diagnóstico e compartilhamento dos resultados.",,,
384,os testes validados por enquanto so sao usados pelo ministerio da saude e pela rede publica? ou tem algum sendo utilizado pela rede privada? quem deve validar os testes rapidos usados pela rede privada?,"Ou tem algum sendo utilizado pela rede privada? Quem deve VALIDAR os testes rápidos usados pela rede privada? Não há determinação expressa, em regulamentos técnicos ou em leis, que estabeleça que os lotes de kits para a Covid-19 registrados na Anvisa tenham que ser previamente validados. Portanto, a ausência de laudo de validação não impede o uso desses produtos. Os serviços de saúde são regulados pela Anvisa e o acompanhamento do desempenho dos produtos é atividade inerente ao gerenciamento das tecnologias em saúde utilizadas nos serviços, que incluem os produtos para a saúde, de modo a garantir a sua rastreabilidade, qualidade, eficácia, efetividade e segurança e, no que couber, desempenho, desde a entrada no estabelecimento de saúde até seu destino final, incluindo o planejamento dos recursos físicos, materiais e humanos, bem como da capacitação dos profissionais envolvidos no seu processo (RDC 02/2010).",,,
385,por que a anvisa permitiu que laboratorios - e agora farmacias - realizem testes rapidos que ainda nao foram validados?,"Não há determinação expressa, em regulamentos técnicos ou em leis, que estabeleça que os testes rápidos para a Covid-19 registrados na Anvisa tenham que ser previamente validados antes de serem utilizados. Portanto, a ausência de validação não impede o uso desses produtos. Destaca-se que é responsabilidade dos fabricantes e importadores disponibilizarem no mercado produtos que estejam em estrita conformidade com as informações aprovadas no registro. Quando observados desvios de qualidade nos produtos, os serviços/profissionais de saúde devem notificar a Anvisa para a adoção de medidas cabíveis. No entanto, trata -se de produtos de uso profissional e os estabelecimentos de saúde que os utilizam têm como prática regulamentada pela Anvisa a aplicação de controles internos para avaliar se o sistema está operando dentro dos limites de tolerância predefinidos, de forma a minimizar os riscos envolvidos na utilização de produtos.",,,
386,onde posso fazer os testes rapidos (igm/igg)?,"A RDC 302/2005, que dispõe sobre o Regulamento Técnico para Funcionamento de Laboratórios Clínicos, determina, no item 6.2.13 de seu anexo, que a execução dos testes laboratoriais remotos – TLR (point-of-care) e de testes rápidos pode ser realizada próximo ao paciente e deve 'estar vinculada a um laboratório clínico, posto de coleta ou serviço de saúde pública ambulatorial ou hospitalar. Assim, os testes rápidos (IgM/IgG) para a Covid-19 podem ser feitos em estabelecimentos de assistência à saúde com licenciamento para esta atividade e por um profissional de saúde devidamente habilitado e treinado para esta finalidade. Os testes geralmente são feitos em laboratórios clínicos, podendo haver coleta no local onde estiver o paciente, incluindo sua casa. É importante destacar que o teste deve ser realizado em espaço priva tivo, seguindo todos os protocolos clínicos de gestão do paciente e manipulação de amostras, em especial aqueles relacionados à proteção sanitária (uso de equipamentos de proteção individual – EPIs). Para maiores informações sobre a utilização de testes rápidos em farmácias, consulte as informações constantes no portal da Anvisa.",,,
387,quem pode comercializar os testes rapidos para covid-19?,"Até o momento, os testes para Covid-19 estão registrados na Anvisa para uso profissional, devendo ser fornecidos apenas por meio de distribuidoras de produtos para saúde legalmente autorizadas para tal. Dessa forma, as empresas que podem fornecer es ses testes são aquelas que atuam no ramo de atividade que contemple o “comércio atacadista de produtos para saúde”, devendo possuir Autorização de Funcionamento de Empresa e licença sanitária que contemplem a atividade de distribuição de produtos para saúde. Conforme a RDC 16/2014, a Autorização de Funcionamento de Empresa para produtos para saúde é exigida para o distribuidor ou comércio atacadista, compreendendo o comércio de produtos para saúde, em quaisquer quantidades, realizadas entre pessoas jurídicas ou a profissionais para o exercício de suas atividades.",,,
388,as distribuidoras de produtos para saude podem comercializar testes para covid-19 para qualquer estabelecimento? podem ser comercializados testes para pessoas fisicas?,"Podem ser comercializados testes para pessoas físicas? As distribuidoras de produtos para saúde podem comercializar os testes para Covid-19 a pessoas jurídicas ou profissionais, para o exercício de suas atividades em serviços de saúde destinados à execução dessa atividade. Assim, por se tratar de produtos para uso profissional, não é permitido o seu comércio à população em geral. Os testes podem ser comercializados para pessoas jurídicas cujas atividades são destinadas à prestação de serviços de saúde à população, como laboratórios, hospitais e outros estabelecimentos de saúde, públicos ou privados.",,,
389,distribuidoras de produtos para saude podem comercializar testes para covid-19 para servicos de saude privados?,"Até o momento, não há restrições da Anvisa em relação ao comércio de testes para Covid-19 para serviços de saúde públicos ou privados. Orientações adicionais podem ser encontradas em relação às políticas de distribuição dos testes por meio do Ministério da Saúde. A RDC 302/2005 define o uso de testes laboratoriais remotos (TLR) somente sob responsabilidade do laboratório clínico ou das unidades públicas de saúde. Dessa forma, fica proibida a venda (por se assumir que a compra é para uso) para outro tipo de serviço de saúde.",,,
