query,per_um,ava_um,per_dois,ava_dois,per_tres,ava_tres
mortes por coronavirus no reino unido ontem,mortes por coronavirus no reino unido por idade,65,mortes por coronavirus no reino unido por dia,70,mortes por coronavirus no reino unido por regiao,70
o que e coronavirus humano em lisol,o que e coronavirus humano,0,o lisol diz que mata o coronavirus,10,e coronavirus na lata de lisol,80
o que e periodo de incubacao cobicado,o que e o periodo de incubacao de covid-19s?,50,o que e o periodo de incubacao do coronavirus,70,"o que e o ""periodo de incubacao""?",80
covid-19 realmente se originou da provincia da china ou simplesmente foi descoberto la,onde covid-19 se originou?,80,a taxa de recuperacao muito alta da china de covid-19 e realmente precisa?,0,a administracao trump realmente herdou um teste covid-19 defeituoso ou desatualizado da administracao obama?,0
como o coronavirus se compara a praga,como o coronavirus se compara,50,como o coronavirus se compara a gripe suina,0,como o covid-19 se compara a outros virus?,40
o que torna meu sistema imunologico mais forte,o que torna seu sistema imunologico mais forte,100,que vitamina torna o seu sistema imunologico mais forte,40,beijar torna seu sistema imunologico mais forte,30
ouvi falar que a cloroquina e hidroxicloroquina estao sendo usadas de forma eficaz para o tratamento da covid- 19. se eu ficar doente devo usar tambem,o que devo fazer se ficar doente durante uma viagem?,30,quando eu devo usar luvas?,0,o que devo fazer se alguem da minha familia ficar muito doente com covid-19?,30
coronavirus covid 19 casos globais pelo centro de sistemas,coronavirus covid 19 casos globais pelo centro de ciencia de sistemas e engenharia csse em johns,70,coronavirus covid 19 casos globais pelo centro para o sistema,60,casos globais de coronavirus covid-19 pelo centro de ciencia e engenharia de sistemas,70
coronavirus e canada,coronavirus e encontrado no canada,80,coronavirus no canada,90,coronavirus pandemico canada,80
como o sistema imunologico pode combater os virus,como combater o virus no corpo,80,como o sistema imunologico combate os virus,90,como o sistema imunologico mata os virus,90
qual e o tamanho do bovino covid-19,qual e o tamanho do genoma do covid-19?,0,qual e a estrutura molecular do covid-19 bovino?,70,a estrutura do bovino covid-19 e conhecida?,70
esquema de vacinacao parvo para caes,parvo vacinal caes,90,calendario de vacinacao para parvovirus caes,50,vacinacao contra parvovirus canino para caes,90
casos de coronavirus na grecia,coronavirus na grecia,100,e coronavirus na grecia,100,atualizacao do coronavirus na grecia,100
quais vegetais sao bons para o seu sistema imunologico,quais alimentos sao bons para construir seu sistema imunologico,100,quais alimentos sao bons para impulsionar seu sistema imunologico,100,quais alimentos sao bons para fortalecer seu sistema imunologico,100
quanto tempo e o periodo de incubacao para covid-19,quanto tempo e o tempo de incubacao para covid-19?,100,qual e o periodo de incubacao?,100,o que e periodo de incubacao cobicado,30
cidade de origem do coronavirus,cdc de origem do coronavirus,30,guerra de origem do coronavirus,0,coala de origem do coronavirus,0
casos globais de coronavirus covid-19 pelo centro de ciencia e engenharia de sistemas,coronavirus covid 19 casos globais pelo centro de sistemas,100,coronavirus covid 19 casos globais pelo centro,0,coronavirus covid 19 casos globais pelo centro para o sistema,0
e coronavirus em singapura,coronavirus em propriedade de singapura,90,morte por coronavirus em singapura,90,impacto do coronavirus em singapura,50
qual dieta estimula seu sistema imunologico,o que estimula seu sistema imunologico,80,que medicamento estimula seu sistema imunologico,10,que fruta estimula seu sistema imunologico,90
voce tem um sistema imunologico melhor durante a gravidez,voce tem um sistema imunologico fraco durante a gravidez,60,voce tem um sistema imunologico baixo durante a gravidez,60,melhor sistema imunologico durante a gravidez,80
quando covid-19 vai parar,o clima quente vai parar o surto de covid-19?,0,quando todo mundo vai levar covid-19 a serio?,0,como faco para parar covid-19?,10
ultimas noticias sobre o virus corona em hyderabad,ultimas noticias corona virus hyderabad,100,ultimas noticias sobre coronavirus em hyderabad,100,ultimas noticias sobre coronavirus hyderabad,100
covid-19 pode viver em superficies,o coronavirus pode viver em superficies cdc,100,quanto tempo pode o coronavirus viver em superficies,80,o coronavirus pode viver em superficies de papel,70
o coronavirus esta atingindo o pico,quando o covid-19 alcancara seu pico?,90,os casos de covid-19 atingiram o pico?,100,as mortes de covid-19 atingiram o pico?,60
o coronavirus causa tosse convulsa,o coronavirus causa tosse umida,0,o coronavirus sempre tem tosse,40,o que e uma tosse coronavirus,30
como impulsionar seu sistema imunologico apos a gripe,como construir o sistema imunologico apos a gripe,100,como estimular o sistema imunologico apos a gripe,100,como impulsionar seu sistema imunologico apos antibioticos,0
maneiras naturais de tornar seu sistema imunologico mais forte,maneiras naturais de manter seu sistema imunologico forte,100,maneiras de tornar meu sistema imunologico mais forte,50,maneiras naturais de melhorar seu sistema imunologico,100
coronavirus e a russia,e coronavirus na russia,90,qual e a situacao do coronavirus na russia,90,o coronavirus esta afetando a russia,90
teste de vacina contra coronavirus,resultados do teste de vacina contra coronavirus,100,voluntario para teste de vacina contra coronavirus,40,atualizacao de teste de vacina de coronavirus,100
o que e distanciamento social e por que e importante,por que o teste covid-19 e importante?,0,por que e importante ter um sistema imunologico saudavel,0,o que aconteceria se simplesmente deixassemos o covid-19 seguir seu curso e nao praticar o distanciamento social?,60
numero de mortes por coronavirus no estado de washington,coronavirus no estado de washington,60,numero de mortes por coronavirus no ira,0,e coronavirus no estado de washington,70
como o coronavirus afeta humanos,como o virus corona afeta os humanos,100,como covid-19 afeta o corpo?,100,como o coronavirus afeta o corpo,100
o coronavirus causa perda de peso,o coronavirus causa perda de cheiro,0,o coronavirus causa perda de apetite,0,o coronavirus causa perda auditiva,0
o covid-19 pode ser transmitido atraves da amamentacao,o coronavirus pode ser transmitido atraves da respiracao,0,o covid-19 pode ser transmitido atraves do sexo?,0,o coronavirus pode ser transmitido atraves dos mosquitos,0
e o virus corona nos eua,virus corona nos eua seattle,60,virus corona e eua,80,onde esta o virus corona nos eua,70
coronavirus voce ainda pode fazer sexo,coronavirus voce ainda pode fazer caminhadas,0,e seguro fazer sexo neste momento?,100,pode corona fazer voce vomitar,0
o que e coronavirus nz,coronavirus nz arauto,0,coronavirus nz auckland,0,noticias sobre coronavirus nz,0
atualizacao do coronavirus na florida,coronavirus na florida,80,quantos casos do coronavirus existem na florida,80,atualizacao do coronavirus na california,0
como covid-19 esta infectando worekrs medicos,como os medicos aumentam seu sistema imunologico,0,como os trabalhadores medicos estao sendo infectados?,100,existem vacinas ou outros produtos medicos para prevenir covid-19?,0
quanto tempo as pessoas com covid-19 devem ficar em casa e isoladas,quanto tempo devem ficar afastadas pessoas que tiveram contato com caso suspeito ou confirmado?,70,por que nao sao apenas as pessoas de risco que precisam ficar isoladas?,30,como as pessoas na mesma casa devem se preparar para covid-19?,50
coronavirus primeiro caso confirmado no municipio de santa clara,quando foi identificado o primeiro caso de covid-19,60,ph primeiro caso de coronavirus,0,eua primeiro caso de coronavirus,0
quais vitaminas fortalecem seu sistema imunologico,quais vitaminas fortalecem o sistema imunologico,100,quais suplementos fortalecem seu sistema imunologico,100,quais alimentos fortalecem seu sistema imunologico,0
como fortalecer o sistema imunologico para lutar contra o hpv,como aumentar o sistema imunologico para lutar contra o hpv,100,como construir o sistema imunologico para lutar contra o hpv,100,impulsionando o sistema imunologico para lutar contra o hpv,100
os humanos podem passar norovirus para caes,os caes podem transmitir norovirus aos humanos,0,voce pode passar norovirus para caes,100,os humanos podem pegar coronavirus de caes,0
se infectado com covid-19 voce pode sobreviver e se recuperar,voce pode pegar covid-19 se ja estiver com gripe?,0,coronavirus voce pode sobreviver,100,e possivel espalhar o covid-19 depois de se recuperar dele?,0
o coronavirus faz voce sentir nauseas,o coronavirus faz voce tossir muco,0,o coronavirus faz voce tossir sangue,0,o que o coronavirus faz com voce,40
sera que o covid-19 levara a demanda por democracia na china,por que a china nao se desculpa por causar covid-19?,40,sera que o covid-19 realmente nos colocara na lei marcial?,0,a internet sera encerrada durante covid-19?,0
como fazer um sistema imunologico enfraquecido,como melhorar um sistema imunologico enfraquecido,100,como construir um sistema imunologico enfraquecido,100,como tratar um sistema imunologico enfraquecido,100
quanti sono i casi di coronavirus em toscana,virus corona infectado na italia,80,onde esta o coronavirus na italia ,80,quantos casos de coronavirus existem na italia,80
como pode o efeito corona ser reduzido,como o coronavirus pode ser tratado,80,o coronavirus pode ser tratado,70,o virus corona pode ser curado,0
escola covid 19 ac,covid 19 ac costco,30,locais covid 19 ac,30,o que e covid 19 ac,30
noticias sobre coronavirus florida,coronavirus na florida ultimas noticias,100,noticias sobre virus corona noticias sobre a china,0,noticias sobre coronavirus havai,0
como posso saber se tenho um sistema imunologico forte,como posso saber se tenho um sistema imunologico enfraquecido,0,como posso saber se tenho um sistema imunologico fraco,0,como saber se tenho forte sistema imunologico,100
noticias sobre coronavirus bloqueio dos eua,noticias sobre coronavirus bloqueio em londres,0,noticias sobre coronavirus eua,30,noticias sobre coronavirus bloqueio do estado de washington,10
alfandega de coronavirus,primeiro diagnostico de coronavirus na alfandega do leste de londres,10,coronavirus primeiro diagnostico de coronavirus encontrado na alfandega leste de londres,10,primeiro diagnostico de coronavirus encontrado na alfandega do leste de londres,10
pode corona acabar com o mundo,poderia o coronavirus acabar com o mundo,100,o coronavirus vai acabar com o mundo,100,o mundo vai acabar por causa do covid-19?,100
atualizacao em coronavirus no reino unido,atualizacao do coronavirus no reino unido,100,coronavirus no reino unido atualizacao hoje,100,ultima atualizacao do coronavirus no reino unido,100
voce pode construir um sistema imunologico mais forte,como construir um sistema imunologico mais forte naturalmente,80,como voce pode construir um sistema imunologico,70,como voce constroi um sistema imunologico mais forte,90
o coronavirus esta diminuindo as declaracoes de impostos,o coronavirus esta afetando as declaracoes fiscais,100,o coronavirus esta diminuindo,0,o coronavirus afetara as restituicoes de impostos,100
como ajudar o sistema imunologico fraco,como ajudar o sistema imunologico enfraquecido,100,como detectar sistema imunologico fraco,30,como diagnosticar sistema imunologico fraco,30
coronavirus em singapura hoje,e coronavirus em singapura,80,coronavirus em propriedade de singapura,70,morte por coronavirus em singapura,30
atualizacao de noticias do virus corona na china,noticias de atualizacao do corona virus china,100,noticias de atualizacao de virus corona na china,100,atualizacao de noticias de virus corona na china,100
por que donald trump esta acusando a china pela disseminacao do covid-19,o que a china esta fazendo para impedir a disseminacao do covid-19?,10,por que as pessoas culpam donald trump pelo surto de covid-19?,0,por que trump ainda esta politizando covid-19?,60
um bebe infectado com coronavirus em wuhan china,um bebe infectado pelo virus corona,40,wuhan china coronavirus em espa ol,0,coronavirus china wuhan cdc,0
onde esta o coronavirus nos eua,onde esta o coronavirus encontrado nos eua,80,onde esta o coronavirus nos eua agora,80,onde esta o coronavirus localizado nos eua,80
noticias sobre coronavirus espanha,coronavirus na espanha ultimas noticias,90,ultimas noticias corona virus espanha,80,noticias sobre virus corona noticias sobre a china,90
como construir um sistema imunologico para lutar contra o hpv,como construir seu sistema imunologico para lutar contra o hpv,100,como construir um sistema imunologico contra o hpv,100,como fortalecer o sistema imunologico para lutar contra o hpv,100
casos confirmados de coronavirus australia,casos de coronavirus na australia,90,quantos casos de coronavirus na australia,90,quantos casos de coronavirus a australia tem,70
como e o virus coronavirus,como o virus corona e detectado,20,como o virus corona e feito,60,como o virus corona e gerado,70
o ibuprofeno tera efeitos adversos em pacientes com covid-19,e seguro para pacientes com covid-19 tomar ibuprofeno?,100,os pacientes com covid-19 devem evitar o uso de ibuprofeno?,80,os pacientes de covid-19 devem tomar ibuprofeno?,90
e uma boa ideia comprar bitcoin durante a pandemia covid-19,covid-19 e uma pandemia?,0,e seguro fazer compras durante a pandemia covid-19?,65,covid-19 e uma pandemia economica?,60
e o virus corona rna ou dna,e o virus corona rna ou virus dna,100,e o virus corona um virus rna ou dna,100,o virus corona e um virus rna ou dna,100
como fumar diminui seu sistema imunologico,corro o risco de complicacoes graves devido a covid-19 se eu fumar cigarros,80,se eu fumar tabaco ou nicotina corro o risco de complicacoes por covid-19,80,o covid-19 e mais serio se voce fuma e as pessoas que fumam enfrentam os mesmos riscos ou menos,70
quantos casos de coronavirus no condado de franklin ohio,quantos casos de coronavirus em ohio por condado,70,quantos casos de coronavirus no condado,70,quantos casos de coronavirus no condado holandes,0
por que algumas pessoas sao assintomaticas enquanto outras podem ser altamente sintomaticas com o covid-19,por que tantas pessoas que contraem o covid-19 sao assintomaticas?,70,por que algumas pessoas ainda ignoram que podem pegar o virus covid-19?,0,por que algumas pessoas acreditam que covid-19 e uma arma biologica?,0
como nos coronavirus diagnosticados,como coronavirus nos eua,0,como nos o coronavirus testamos,80,como e o coronavirus nos eua,0
e coronavirus em atlanta,casos de coronavirus no mapa dos eua,80,casos de coronavirus eua por mapa estadual,90,onde esta o coronavirus no mapa dos eua,80
como melhorar seu sistema imunologico em hindi,como melhorar o sistema imunologico em hindi,100,como melhorar o sistema imunologico em casa em hindi,80,como melhorar o sistema imunologico ayurveda em hindi,65
que conselho devemos seguir contra covid-19,conselho de coronavirus nhs,35,conselho governamental de coronavirus hk,50,onde devemos investir apos o fim do covid-19?,0
como voce pode tornar seu sistema imunologico forte,como tornar seu sistema imunologico forte,100,o que voce pode comer para tornar seu sistema imunologico forte,100,o que voce pode fazer para tornar seu sistema imunologico forte,100
casos de coronavirus em massachusetts,quantos casos de coronavirus em massachusetts,100,mapa de casos de coronavirus em massachusetts,100,casos de coronavirus em massachusetts por condado,100
onde esta o coronavirus nos eua agora,onde esta o coronavirus agora,35,onde esta o coronavirus nos eua,80,coronavirus nos eua agora,90
como faco para aumentar o sistema imunologico do meu filho,como faco para melhorar o sistema imunologico do meu filho,100,como aumentar o sistema imunologico do meu filho,100,como faco para aumentar meu sistema imunologico nhs,0
o coronavirus pode viver no casaco de caes,quanto tempo o coronavirus permanece em superficies diferentes,80,por quanto tempo os germes do coronavirus podem viver nas superficies,80,quanto tempo covid-19 vive em superficies,80
sinais de que voce tem sistema imunologico baixo,sinais de que voce tem sistema imunologico fraco,100,sinais de que voce tem um forte sistema imunologico,65,sinais de que voce tem um sistema imunologico saudavel,65
como e chamado o coronavirus,por que o coronavirus e chamado assim,35,por que e chamado de covid-19?,35,como e chamado quando seu sistema imunologico esta fraco,0
o profissional de enfermagem com sintomas que cumpriu o isolamento domiciliar apos 14 dias pode retornar ao trabalho,fui confirmado com a covid-19: apos os 14 dias de isolamento posso ter contato com idosos?,100,o que significa isolamento domiciliar?,0,o que e isolamento domiciliar?,0
como o coronavirus se formou,como o coronavirus se espalhou,0,como o coronavirus se sente,0,como o coronavirus se origina,100
o coronavirus afeta a visao,como covid-19 afeta o corpo,80,coronavirus afeta quais órgãos,80,o coronavirus afeta a comida chinesa,0
ha um procedimento a seguir se covid-19 matar um membro da minha familia no exterior,se um membro da familia adoece desde covid-19 o que eu faco?,70,ha algo que eu possa fazer para ajudar minha familia a se preparar para covid-19?,0,devo cancelar a minha viagem para o exterior?,0
o covid-19 pode se espalhar pelos alimentos,o coronavirus pode se espalhar pelos olhos,0,o coronavirus pode se espalhar pelos ouvidos,0,o coronavirus pode se espalhar pelos ovos,65
coronavirus china chicago,casos de coronavirus em chicago,90,coronavirus em chicago,80,coronavirus novo chicago,80
o que as pessoas com alto risco de doencas graves com covid-19 devem fazer,o que as pessoas que pertencem ao grupo de risco devem fazer?,100,as pessoas com deficiencia correm maior risco?,30,quem corre o risco de desenvolver doencas graves?,0
contagem de coronavirus no paquistao,casos de coronavirus no paquistao,90,pacientes coronavirus no paquistao,80,e coronavirus no paquistao,70
o que esta acontecendo na china coronavirus,o coronavirus esta diminuindo na china,45,o coronavirus esta melhorando na china,45,o coronavirus esta desacelerando na china,45
como estimular seu sistema imunologico ao tomar antibioticos,como estimular seu sistema imunologico apos tomar antibioticos,90,como estimular o sistema imunologico apos tomar antibioticos,90,como estimular o sistema imunologico ao tomar metotrexato,0
o que e novo coronavirus 2019-ncov,o que e novo coronavirus,0,coronavirus 2019-ncov ncbi,70,coronavirus 2019-ncov hopkins,70
o coronavirus chegou a vancouver,como o coronavirus chegou a china,0,como o coronavirus chegou a italia,0,coronavirus news vancouver,70
por que tantas pessoas acreditam que ha uma conexao entre a tecnologia covid-19 e 5g,essa pandemia tem algo a ver com a rede 5g,80,e verdade que 5g espalha o covid-19,80,por que tantas pessoas morreram de covid-19 nos eua?,0
plano do governo do reino unido coronavirus,conselho do governo do reino unido coronavirus,90,anuncio do governo do reino unido coronavirus,45,coronavirus financiamento do governo do reino unido,80
areas afetadas pelo virus corona na italia,areas afetadas por coronavirus na italia,100,areas afetadas por coronavirus na china,0,areas afetadas por coronavirus na india,0
animais domesticos podem ser infectados com covid-19 e entao transmiti-lo a outros animais de estimacao e seres humanos,animais de estimacao podem pegar coronavirus,60,devo evitar o contato com animais de estimacao ou outros animais se estiver doente com covid-19?,0,animais de estimacao podem pegar ou transmitir a covid-19?,90
quais alimentos estimulam o sistema imunologico de uma crianca,quais alimentos estimulam seu sistema imunologico,70,quais alimentos estimulam o sistema imunologico de um cao,0,quais alimentos estimulam o sistema imunologico para combater infeccoes,0
o coronavirus se espalha pelo frango,o virus corona se espalha pelo frango na india,70,o coronavirus pode se espalhar pelo frango,90,o coronavirus se espalha pelo ovo,30
existe um jeito certo de lavar as maos,"provavelmente pegarei o virus covid-19 na america, independentemente de lavar as maos?",0,existe uma maneira de matar covid-19 sem desinfetante para as maos?,0,"por que? lavar as maos com agua e sabao ou usar alcool nas maos elimina o virus, se este estiver nas maos.",20
como o corpo humano mata os virus,como o corpo humano luta contra os virus,100,como o corpo mata os virus do resfriado,60,como seu corpo mata virus,100
e coronavirus bacteriano,o que e coronavirus e e contagioso,0,e o coronavirus e las vegas,0,qual e o coronavirus e sintomas,30
comida para impulsionar o sistema imunologico em criancas,vitaminas para impulsionar o sistema imunologico em criancas,35,comida para impulsionar o sistema imunologico nhs,60,comida para impulsionar o sistema imunologico rapido,65
coronavirus nos eua nyc,onde estao os casos de coronavirus nos eua,90,"coronavirus nos eua, onde",80,mapa de casos confirmados de coronavirus nos eua,90
por que se preocupar com covid-19 quando a gripe mata tantas pessoas,por que tantas pessoas morreram de covid-19 nos eua?,0,por que tantas pessoas que contraem o covid-19 sao assintomaticas?,0,devo me preocupar com a covid-19?,70
as mortes de covid-19 devem ser cremadas,as mortes de covid-19 sao precisas?,0,as mortes de covid-19 atingiram o pico?,0,as gestantes e lactante devem ser afastadas da assistencia?,0
como fazer quando os clientes devido ao teor do servico prestado nao podem usar mascara por exemplo tratamentos de rosto cortar a barba comer etc,por que os animais estao sendo testados quando muitas pessoas nao podem fazer o teste?,0,como usar uma mascara?,0,devo usar mascara de protecao ao deixar o brasil?,0
como impulsionar o sistema imunologico nhs,como impulsionar o sistema imunologico naturalmente nhs,70,como posso impulsionar meu sistema imunologico nhs,90,como voce pode impulsionar seu sistema imunologico nhs,90
como fortalecer o sistema imunologico durante a viagem,voce pode melhorar o sistema imunologico,60,ajudar seu sistema imunologico a ficar mais forte,80,como aumentar seu sistema imunologico,80
como se manter saudavel com um sistema imunologico comprometido,como se manter saudavel com um sistema imunologico fraco,100,como manter um sistema imunologico saudavel,40,como posso manter um sistema imunologico saudavel,40
deve covid-19 ser capitalizado,qual modelo covid-19 deve ser usado?,0,a morte de covid-19 deve ser cremada?,0,covid-19 deve ser relatado na certidao de obito?,0
seu sistema imunologico esta mais fraco durante a gravidez,seu sistema imunologico esta mais fraco durante o inicio da gravidez,100,seu sistema imunologico e mais forte ou mais fraco durante a gravidez,80,e o sistema imunologico mais fraco durante a gravidez,90
coronavirus philippines pasay city,casos de virus corona nas filipinas,90,ultimas noticias do virus corona nas filipinas,80,ultimas noticias sobre o virus corona nas filipinas,90
tomar vitamina c e propolis ajuda a prevenir contra o virus,pode tomar vitamina c aumentar a resistencia de seu corpo ao covid-19?,80,que vitamina ajuda a construir seu sistema imunologico,60,que vitamina ajuda a impulsionar seu sistema imunologico,60
coronavirus podem os humanos obter,os humanos podem pegar coronavirus,100,os humanos podem obter o novo coronavirus de caes e gatos,65,os humanos podem usar pomada corona,0
o virus corona morrera a que temperatura,o virus corona morrera em que temperatura,100,o coronavirus morrera em temperatura alta,100,a que temperatura o virus corona nao sobrevive,100
como evitar que o norovirus se espalhe,como o norovirus se espalha,35,e possivel que sangue doado espalhe covid-19?,0,como um norovirus se espalha,90
coronavirus pelo ar,e coronavirus transportado pelo ar,90,norovirus se espalhou pelo ar,0,o coronavirus pode viajar pelo ar,80
por quanto tempo voce pode ter norovirus antes dos sintomas,por quanto tempo voce pode ter norovirus por,80,voce pode espalhar norovirus antes dos sintomas,0,quanto tempo voce pode ter norovirus,70
covid-19 veio de um laboratorio,covid-19 veio de um morcego?,0,covid-19 comecou em um laboratorio?,100,covid-19 escapou de um laboratorio de pesquisa?,100
areas afetadas por coronavirus na china,areas afetadas por coronavirus na italia,0,areas afetadas por coronavirus na india,0,areas afetadas pelo virus corona na china,100
voce pode espalhar o norovirus antes que os sintomas comecem,voce pode espalhar norovirus antes dos sintomas,100,voce pode espalhar norovirus sem sintomas,100,como voce pode espalhar norovirus,80
onde esta o coronavirus agora no reino unido,"coronavirus no reino unido, onde",100,onde esta o coronavirus reino unido,100,onde esta o coronavirus agora,100
voce pode espalhar norovirus sem sintomas,voce pode transmitir o norovirus sem sintomas,100,voce pode espalhar norovirus antes dos sintomas,100,o coronavirus pode se espalhar sem sintomas,0
ajudar seu sistema imunologico a ficar mais forte,o que ajuda seu sistema imunologico a ficar mais forte,100,alimentos que ajudam seu sistema imunologico a ficar mais forte,70,seu sistema imunologico fica mais forte depois de ficar doente,0
como faco para saber se meu sistema imunologico esta saudavel,como faco para saber se meu sistema imunologico esta fraco,65,como faco para saber se meu sistema imunologico esta comprometido,65,como faco para saber se meu sistema imunologico esta suprimido,65
atualizacao sobre coronavirus em nz,atualizacao do coronavirus nz,90,noticias sobre coronavirus nz,90,casos de atualizacao de coronavirus nz,90
vacina de coronavirus canino de vanguarda,vacina de parvovirus canino,0,vacina de coronavirus canino zoetis,0,tipo de vacina de parvovirus canino,50
como o coronavirus e curado,o coronavirus esta curado,80,coronavirus curado australia,65,o coronavirus pode ser curado,70
o coronavirus tem febre,o coronavirus tem febre alta,70,o coronavirus causa febre,80,o covid-19 provoca febre?,90
o tratamento da tuberculose e diferente em pessoas com tb e covid-19,qual o tratamento indicado para uma pessoa com covid-19,70,o covid-19 e a tuberculose se propagam da mesma forma?,0,"e provavel que as pessoas com tuberculose tenham maior risco de infeccao, doenca e morte por covid-19?",0
e coronavirus no texas,e coronavirus no sul do texas,50,coronavirus no texas confirmado,70,coronavirus no texas 2020,70
coronavirus na coreia,coronavirus na coreia 2020,80,atualizacao de coronavirus na coreia,80,coronavirus na coreia ultimas noticias,80
quantas mortes de covid-19 na ultima semana,quantas mortes por coronavirus na ultima semana,100,qual e o numero atual de mortes devido a covid-19,80,qual e o numero previsto de mortes devido a covid-19,80
coronavirus delhi ndtv,coronavirus em delhi,0,coronavirus e delhi,70,coronavirus em delhi noida,0
coronavirus singapura dfat,peticao coronavirus singapura,0,coronavirus em singapura hoje,70,e coronavirus em singapura,70
pode baixo sistema imunologico causar infeccao por fungos,como o corpo luta contra virus bacterias fungos,50,pode baixo sistema imunologico causar infertilidade,0,pode baixo sistema imunologico causar aborto,0
o desinfetante para as maos e util,pode o desinfetante caseiro substituir desinfetante para as maos de verdade?,80,posso matar covid-19 sem desinfetante para as maos?,80,posso usar vodka como desinfetante para as maos?,0
como voce estimula um sistema imunologico fraco,como voce estimula o sistema imunologico de um cao,0,como voce fortalece um sistema imunologico fraco,100,como voce tem um sistema imunologico fraco,0
o que posso fazer para impulsionar meu sistema imunologico rapido,o que posso fazer para impulsionar meu sistema imunologico naturalmente,65,o que posso fazer para impulsionar o sistema imunologico do meu filho,70,o que posso fazer para manter meu sistema imunologico forte,70
como desenvolver o sistema imunologico em adultos,como desenvolver o sistema imunologico em bebes,0,como aumentar o sistema imunologico em adultos,100,como fortalecer o sistema imunologico em adultos,100
